nodo,pagerank,in_degree,out_degree,hits_hub,hits_authority,betweenness,closeness
24726,0.000575184448367622,4,4,3.7077592472723086e-21,6.30277046604656e-19,0.0,0.002001000500250125
25458,0.0008775189550325074,4,4,-1.6108735491807217e-20,-4.972721935095989e-19,7.511263139077046e-07,0.002001000500250125
25575,0.00020692920423315617,4,5,1.06181464886515e-06,2.3073916275727026e-07,0.00037024372185266003,0.1490939114045603
25635,0.0005751844483676219,3,3,3.626679743480581e-21,1.0563194243182113e-19,0.0,0.0015007503751875938
25854,0.0008182289707275251,8,2,1.890141530332584e-20,1.4176190265287945e-19,2.2533789417231138e-06,0.00416875104218776
26689,0.000575184448367622,2,2,-7.304848428417154e-21,-2.2562796196016494e-19,0.0,0.0010005002501250625
26723,0.000315160454250619,24,27,1.2834568781758239e-06,5.999980045163857e-07,9.480124537653304e-06,0.018009004502251125
26842,0.0003154708954382723,25,30,1.783312851881656e-08,9.723015350349763e-09,2.420460166907226e-05,0.12086424793462583
27115,0.0016079072552627055,48,0,-0.0,5.754552385363105e-08,0.0,0.14827725438345282
27176,0.00017966943331027514,1,0,-0.0,2.0136092197044363e-08,0.0,0.09705872685923445
27470,8.64439217488278e-05,0,0,-0.0,-1.5281681225128812e-20,0.0,0.0
27535,0.00045103575370719054,28,27,1.3074278908095665e-06,6.910469175351235e-07,1.9605067146954043e-05,0.022356005589001398
27684,0.0008466450477145829,2,1,-1.2304097809440439e-20,-5.1546807139777905e-20,2.503754379692349e-07,0.0010005002501250625
27817,0.00023895464432438954,42,56,0.006920754499792168,0.005567675869611113,2.426084655796003e-06,0.06665078965834689
27876,0.0005751844483676223,29,29,1.3184154682491912e-18,3.232689218415169e-18,0.0,0.014507253626813406
27904,0.002708590985639358,24,3,-3.403657602068933e-21,-3.748843472715836e-19,2.2533789417231138e-06,0.01200600300150075
27914,9.169245622196165e-05,1,10,2.5208723268037343e-20,2.2317961224375956e-08,4.006007007507758e-06,0.0005002501250625312
27940,0.00025479818831695636,3,12,3.293353284171923e-09,1.9000875536320855e-10,3.755631569538523e-07,0.10063304614791226
27990,0.0005905300964430312,10,10,1.427456738129994e-09,2.4829754877187234e-10,2.7819493107692762e-08,0.11338725742693305
28046,0.00010947267025465977,4,42,3.097610551429026e-06,2.474632442328238e-07,0.0006087628398783976,0.09347376963291758
28140,0.0014457233245410107,8,6,2.291037980344529e-09,1.455780989020395e-07,0.004542318749368996,0.17767759619454698
28154,0.00011620764833529659,1,7,8.519760110664877e-22,-6.516302274925185e-19,0.0,0.0017250004312501079
28172,8.64439217488278e-05,0,2,7.173922255207734e-14,-2.072577547849434e-19,0.0,0.0
28243,0.0008036432509135625,16,11,8.198233298569924e-13,6.380023127833211e-12,7.5613382266708945e-06,0.008031793674615085
28358,0.00019189085401263655,1,3,1.980970338655775e-17,7.858453269468583e-19,0.0,0.0011434288572857857
28443,8.64439217488278e-05,0,4,8.823404745941696e-22,1.2496538765065622e-19,0.0,0.0
28499,0.00024394971849573814,23,36,0.004518465967321251,0.0021206901894967687,1.1016197423239026e-05,0.08367939403878732
28600,0.0026614785883099217,32,7,1.4215963881346966e-08,9.656003710307162e-09,0.00010201234444999171,0.14497640863691794
28983,0.00018399389752170314,8,8,1.0949074204174383e-06,1.7007310968058532e-07,2.044732743415418e-06,0.06689430083068625
28984,0.00029270459984413657,12,15,1.183391602572623e-06,2.7767251264825817e-07,0.0,0.11667513893720252
29050,9.844925953061699e-05,7,53,3.2677068990159477e-06,4.404720199447504e-07,0.0,0.004669001167250292
29115,0.0007177185346494363,25,20,1.3785777608214195e-06,6.273313417987735e-07,0.0009784972027409367,0.14405830817922877
29274,0.0004953861326670097,5,5,1.5502348808373407e-11,2.723911179696211e-10,0.0,0.0025012506253126563
29419,0.0002966585964000209,22,45,3.2800152661401298e-06,1.3667744419349591e-06,2.558729240077577e-07,0.09409474102807233
29702,0.0006603889602333552,14,12,2.7703455095397866e-09,2.0574800182843122e-08,0.0005397081018224925,0.007003501750875438
29878,0.00848612950845154,1,52,9.79167779878265e-20,4.0683214007635837e-19,0.00065122651415798,0.013132779982224122
30002,0.00028820054554983893,4,11,3.2897552667479128e-09,2.5337949110664225e-10,2.503754379692349e-07,0.10064606633760664
30051,0.00022410214177361447,8,16,-3.3509034065144843e-20,1.8230620929467244e-19,0.0,0.0053360013340003325
